id,text,term,polarity,from,to,category,polarity2,,,,,term,category,,,combine
1571,It is very overpriced and not very tasty.,,,,,food,negative,,,,,,food,,, food
1571,It is very overpriced and not very tasty.,,,,,price,negative,,,,,,price,,, price
1458,Our agreed favorite is the orrechiete with sausage and chicken (usually the waiters are kind enough to split the dish in half so you get to sample both meats).,orrechiete with sausage and chicken,positive,27,62,,,,,,,orrechiete with sausage and chicken,,,,orrechiete with sausage and chicken 
1458,Our agreed favorite is the orrechiete with sausage and chicken (usually the waiters are kind enough to split the dish in half so you get to sample both meats).,waiters,positive,76,83,,,,,,,waiters,,,,waiters 
1458,Our agreed favorite is the orrechiete with sausage and chicken (usually the waiters are kind enough to split the dish in half so you get to sample both meats).,meats,neutral,152,157,,,,,,,meats,,,,meats 
1458,Our agreed favorite is the orrechiete with sausage and chicken (usually the waiters are kind enough to split the dish in half so you get to sample both meats).,dish,neutral,113,117,,,,,,,dish,,,,dish 
1458,Our agreed favorite is the orrechiete with sausage and chicken (usually the waiters are kind enough to split the dish in half so you get to sample both meats).,,,,,food,positive,,,,,,food,,, food
1458,Our agreed favorite is the orrechiete with sausage and chicken (usually the waiters are kind enough to split the dish in half so you get to sample both meats).,,,,,service,positive,,,,,,service,,, service
3161,The Bagels have an outstanding taste with a terrific texturecomma both chewy yet not gummy.,Bagels,positive,4,10,,,,,,,Bagels,,,,Bagels 
3161,The Bagels have an outstanding taste with a terrific texturecomma both chewy yet not gummy.,,,,,food,positive,,,,,,food,,, food
2391,Nevertheless the food itself is pretty good.,food,positive,17,21,,,,,,,food,,,,food 
2391,Nevertheless the food itself is pretty good.,,,,,food,positive,,,,,,food,,, food
986,i've noticed megadethcomma mr. scruffcomma st. germaincomma traditional vietnamese songscomma black sabbathcomma jay-zcomma and daft punk all being played.,songs,neutral,71,76,,,,,,,songs,,,,songs 
986,i've noticed megadethcomma mr. scruffcomma st. germaincomma traditional vietnamese songscomma black sabbathcomma jay-zcomma and daft punk all being played.,,,,,ambience,neutral,,,,,,ambience,,, ambience
296,They did not have mayonnaisecomma forgot our toastcomma left out ingredients (ie cheese in an omelet)comma below hot temperatures and the bacon was so over cooked it crumbled on the plate when you touched it.,toast,negative,41,46,,,,,,,toast,,,,toast 
296,They did not have mayonnaisecomma forgot our toastcomma left out ingredients (ie cheese in an omelet)comma below hot temperatures and the bacon was so over cooked it crumbled on the plate when you touched it.,mayonnaise,negative,18,28,,,,,,,mayonnaise,,,,mayonnaise 
296,They did not have mayonnaisecomma forgot our toastcomma left out ingredients (ie cheese in an omelet)comma below hot temperatures and the bacon was so over cooked it crumbled on the plate when you touched it.,bacon,negative,126,131,,,,,,,bacon,,,,bacon 
296,They did not have mayonnaisecomma forgot our toastcomma left out ingredients (ie cheese in an omelet)comma below hot temperatures and the bacon was so over cooked it crumbled on the plate when you touched it.,cheese,neutral,73,79,,,,,,,cheese,,,,cheese 
296,They did not have mayonnaisecomma forgot our toastcomma left out ingredients (ie cheese in an omelet)comma below hot temperatures and the bacon was so over cooked it crumbled on the plate when you touched it.,ingredients,negative,57,68,,,,,,,ingredients,,,,ingredients 
296,They did not have mayonnaisecomma forgot our toastcomma left out ingredients (ie cheese in an omelet)comma below hot temperatures and the bacon was so over cooked it crumbled on the plate when you touched it.,plate,neutral,170,175,,,,,,,plate,,,,plate 
296,They did not have mayonnaisecomma forgot our toastcomma left out ingredients (ie cheese in an omelet)comma below hot temperatures and the bacon was so over cooked it crumbled on the plate when you touched it.,omelet,neutral,86,92,,,,,,,omelet,,,,omelet 
296,They did not have mayonnaisecomma forgot our toastcomma left out ingredients (ie cheese in an omelet)comma below hot temperatures and the bacon was so over cooked it crumbled on the plate when you touched it.,,,,,food,negative,,,,,,food,,, food
1793,It took half an hour to get our checkcomma which was perfect since we could sitcomma have drinks and talk!,drinks,neutral,82,88,,,,,,,drinks,,,,drinks 
1793,It took half an hour to get our checkcomma which was perfect since we could sitcomma have drinks and talk!,check,neutral,32,37,,,,,,,check,,,,check 
1793,It took half an hour to get our checkcomma which was perfect since we could sitcomma have drinks and talk!,,,,,service,conflict,,,,,,service,,, service
2200,The design and atmosphere is just as good.,design,positive,4,10,,,,,,,design,,,,design 
2200,The design and atmosphere is just as good.,atmosphere,positive,15,25,,,,,,,atmosphere,,,,atmosphere 
2200,The design and atmosphere is just as good.,,,,,ambience,positive,,,,,,ambience,,, ambience
3195,He has visited Thailand and is quite expert on the cuisine.,cuisine,positive,51,58,,,,,,,cuisine,,,,cuisine 
3195,He has visited Thailand and is quite expert on the cuisine.,,,,,food,positive,,,,,,food,,, food
3119,I would definitely recommend Mary's and am making it one of my regular neighborhood haunts.,,,,,anecdotes/miscellaneous,positive,,,,,,anecdotes/miscellaneous,,, anecdotes/miscellaneous
3359,The pizza is the best if you like thin crusted pizza.,pizza,positive,4,9,,,,,,,pizza,,,,pizza 
3359,The pizza is the best if you like thin crusted pizza.,thin crusted pizza,neutral,34,52,,,,,,,thin crusted pizza,,,,thin crusted pizza 
3359,The pizza is the best if you like thin crusted pizza.,,,,,food,positive,,,,,,food,,, food
70,My Girlfriend and I stumbled onto this hopping place the other night and had a great time!,,,,,anecdotes/miscellaneous,positive,,,,,,anecdotes/miscellaneous,,, anecdotes/miscellaneous
1829,He can't helpcomma they're bought up so fast.,,,,,anecdotes/miscellaneous,neutral,,,,,,anecdotes/miscellaneous,,, anecdotes/miscellaneous
2935,Secondlycomma on this night the place was overwhelmed by upper east side ladies perfume.,,,,,ambience,negative,,,,,,ambience,,, ambience
1805,i have eaten here a handful of timescomma for no reason besides sheer convenience.,,,,,anecdotes/miscellaneous,neutral,,,,,,anecdotes/miscellaneous,,, anecdotes/miscellaneous
2559,Obviously run by folks who know a pie.,,,,,service,positive,,,,,,service,,, service
716,We were very disappointed.,,,,,anecdotes/miscellaneous,negative,,,,,,anecdotes/miscellaneous,,, anecdotes/miscellaneous
2464,IT IS DEFINITELY SPECIAL AND AFFORDABLE.,,,,,anecdotes/miscellaneous,positive,,,,,,anecdotes/miscellaneous,,, anecdotes/miscellaneous
2464,IT IS DEFINITELY SPECIAL AND AFFORDABLE.,,,,,price,positive,,,,,,price,,, price
385,I really liked this place.,,,,,anecdotes/miscellaneous,positive,,,,,,anecdotes/miscellaneous,,, anecdotes/miscellaneous
1350,I will be going back very soon.,,,,,anecdotes/miscellaneous,positive,,,,,,anecdotes/miscellaneous,,, anecdotes/miscellaneous
3534,All the money went into the interior decorationcomma none of it went to the chefs.,interior decoration,positive,28,47,,,,,,,interior decoration,,,,interior decoration 
3534,All the money went into the interior decorationcomma none of it went to the chefs.,chefs,negative,72,77,,,,,,,chefs,,,,chefs 
3534,All the money went into the interior decorationcomma none of it went to the chefs.,,,,,ambience,positive,,,,,,ambience,,, ambience
3534,All the money went into the interior decorationcomma none of it went to the chefs.,,,,,food,negative,,,,,,food,,, food
1407,The seats are uncomfortable if you are sitting against the wall on wooden benches.,seats,negative,4,9,,,,,,,seats,,,,seats 
1407,The seats are uncomfortable if you are sitting against the wall on wooden benches.,,,,,ambience,negative,,,,,,ambience,,, ambience
565,I asked for seltzer with limecomma no ice.,seltzer with lime,neutral,12,29,,,,,,,seltzer with lime,,,,seltzer with lime 
565,I asked for seltzer with limecomma no ice.,,,,,food,neutral,,,,,,food,,, food
387,It was pretty inexpensive too.,,,,,price,positive,,,,,,price,,, price
1314,Will not be back.,,,,,anecdotes/miscellaneous,negative,,,,,,anecdotes/miscellaneous,,, anecdotes/miscellaneous
675,Don't go alone---even two people isn't enough for the whole experiencecomma with pickles and a selection of meats and seafoods.,pickles,positive,77,84,,,,,,,pickles,,,,pickles 
675,Don't go alone---even two people isn't enough for the whole experiencecomma with pickles and a selection of meats and seafoods.,selection of meats and seafoods,positive,91,122,,,,,,,selection of meats and seafoods,,,,selection of meats and seafoods 
675,Don't go alone---even two people isn't enough for the whole experiencecomma with pickles and a selection of meats and seafoods.,,,,,food,positive,,,,,,food,,, food
2227,My suggestion is to eat family style because you'll want to try the other dishes.,dishes,neutral,74,80,,,,,,,dishes,,,,dishes 
2227,My suggestion is to eat family style because you'll want to try the other dishes.,eat family style,positive,20,36,,,,,,,eat family style,,,,eat family style 
2227,My suggestion is to eat family style because you'll want to try the other dishes.,,,,,food,neutral,,,,,,food,,, food
3367,Best of all is the warm vibecomma the owner is super friendly and service is fast.,vibe,positive,24,28,,,,,,,vibe,,,,vibe 
3367,Best of all is the warm vibecomma the owner is super friendly and service is fast.,owner,positive,34,39,,,,,,,owner,,,,owner 
3367,Best of all is the warm vibecomma the owner is super friendly and service is fast.,service,positive,62,69,,,,,,,service,,,,service 
3367,Best of all is the warm vibecomma the owner is super friendly and service is fast.,,,,,service,positive,,,,,,service,,, service
3367,Best of all is the warm vibecomma the owner is super friendly and service is fast.,,,,,ambience,positive,,,,,,ambience,,, ambience
1210,This isn't a value joint.,,,,,price,negative,,,,,,price,,, price
2191,Faan's got a great concept but a little rough on the delivery.,delivery,negative,53,61,,,,,,,delivery,,,,delivery 
2191,Faan's got a great concept but a little rough on the delivery.,,,,,anecdotes/miscellaneous,positive,,,,,,anecdotes/miscellaneous,,, anecdotes/miscellaneous
2191,Faan's got a great concept but a little rough on the delivery.,,,,,service,negative,,,,,,service,,, service
270,From the incredible foodcomma to the warm atmospherecomma to the friendly servicecomma this downtown neighborhood spot doesn't miss a beat.,food,positive,20,24,,,,,,,food,,,,food 
270,From the incredible foodcomma to the warm atmospherecomma to the friendly servicecomma this downtown neighborhood spot doesn't miss a beat.,atmosphere,positive,38,48,,,,,,,atmosphere,,,,atmosphere 
270,From the incredible foodcomma to the warm atmospherecomma to the friendly servicecomma this downtown neighborhood spot doesn't miss a beat.,service,positive,66,73,,,,,,,service,,,,service 
270,From the incredible foodcomma to the warm atmospherecomma to the friendly servicecomma this downtown neighborhood spot doesn't miss a beat.,,,,,food,positive,,,,,,food,,, food
270,From the incredible foodcomma to the warm atmospherecomma to the friendly servicecomma this downtown neighborhood spot doesn't miss a beat.,,,,,service,positive,,,,,,service,,, service
270,From the incredible foodcomma to the warm atmospherecomma to the friendly servicecomma this downtown neighborhood spot doesn't miss a beat.,,,,,ambience,positive,,,,,,ambience,,, ambience
638,Great food at REASONABLE pricescomma makes for an evening that can't be beat!,food,positive,6,10,,,,,,,food,,,,food 
638,Great food at REASONABLE pricescomma makes for an evening that can't be beat!,prices,positive,25,31,,,,,,,prices,,,,prices 
638,Great food at REASONABLE pricescomma makes for an evening that can't be beat!,,,,,food,positive,,,,,,food,,, food
638,Great food at REASONABLE pricescomma makes for an evening that can't be beat!,,,,,price,positive,,,,,,price,,, price
500,Look foward to trying the Ruben upon returning.,,,,,anecdotes/miscellaneous,positive,,,,,,anecdotes/miscellaneous,,, anecdotes/miscellaneous
1108,The only other steakhouse that seems to hold a candle to Roth's is the Strip House.,,,,,anecdotes/miscellaneous,neutral,,,,,,anecdotes/miscellaneous,,, anecdotes/miscellaneous
3294,We usually go to the Chart House to celebrate a birthday or anniversary.,,,,,anecdotes/miscellaneous,neutral,,,,,,anecdotes/miscellaneous,,, anecdotes/miscellaneous
388,this little place has a cute interior decor and affordable city prices.,interior deco,positive,29,42,,,,,,,interior deco,,,,interior deco 
388,this little place has a cute interior decor and affordable city prices.,prices,positive,64,70,,,,,,,prices,,,,prices 
388,this little place has a cute interior decor and affordable city prices.,,,,,ambience,positive,,,,,,ambience,,, ambience
388,this little place has a cute interior decor and affordable city prices.,,,,,price,positive,,,,,,price,,, price
3070,You'll adore it.,,,,,anecdotes/miscellaneous,positive,,,,,,anecdotes/miscellaneous,,, anecdotes/miscellaneous
3373,Two words: Free wine.,wine,positive,16,20,,,,,,,wine,,,,wine 
3373,Two words: Free wine.,,,,,price,positive,,,,,,price,,, price
425,The price is reasonable although the service is poor.,price,positive,4,9,,,,,,,price,,,,price 
425,The price is reasonable although the service is poor.,service,negative,37,44,,,,,,,service,,,,service 
425,The price is reasonable although the service is poor.,,,,,service,negative,,,,,,service,,, service
425,The price is reasonable although the service is poor.,,,,,price,positive,,,,,,price,,, price
3192,The quantity is also very goodcomma you will come out satisfied.,quantity,positive,4,12,,,,,,,quantity,,,,quantity 
3192,The quantity is also very goodcomma you will come out satisfied.,,,,,food,positive,,,,,,food,,, food
1098,I have been to Roth's twice and both times were very disappointing.,,,,,anecdotes/miscellaneous,negative,,,,,,anecdotes/miscellaneous,,, anecdotes/miscellaneous
2173,Worth visiting the 1st Ave spot because it is the original store.,,,,,anecdotes/miscellaneous,positive,,,,,,anecdotes/miscellaneous,,, anecdotes/miscellaneous
391,I stumbled upon this second floor walk-up two Fridays ago when I was with two friends in town from L.A. Being serious sushi loverscomma we sat at the sushi bar to be closer to the action.,sushi,neutral,118,123,,,,,,,sushi,,,,sushi 
391,I stumbled upon this second floor walk-up two Fridays ago when I was with two friends in town from L.A. Being serious sushi loverscomma we sat at the sushi bar to be closer to the action.,sushi bar,neutral,146,155,,,,,,,sushi bar,,,,sushi bar 
391,I stumbled upon this second floor walk-up two Fridays ago when I was with two friends in town from L.A. Being serious sushi loverscomma we sat at the sushi bar to be closer to the action.,,,,,anecdotes/miscellaneous,neutral,,,,,,anecdotes/miscellaneous,,, anecdotes/miscellaneous
263,Raga's is a romanticcomma cozy restaurant.,,,,,ambience,positive,,,,,,ambience,,, ambience
2384,The fried rice is amazing here.,fried rice,positive,4,14,,,,,,,fried rice,,,,fried rice 
2384,The fried rice is amazing here.,,,,,food,positive,,,,,,food,,, food
2962,Three courses - choices include excellent musselscomma puff pastry goat cheese and salad with a delicious dressingcomma and a hanger steak au poivre that is out of this world.,mussels,positive,42,49,,,,,,,mussels,,,,mussels 
2962,Three courses - choices include excellent musselscomma puff pastry goat cheese and salad with a delicious dressingcomma and a hanger steak au poivre that is out of this world.,puff pastry goat cheese,positive,51,74,,,,,,,puff pastry goat cheese,,,,puff pastry goat cheese 
2962,Three courses - choices include excellent musselscomma puff pastry goat cheese and salad with a delicious dressingcomma and a hanger steak au poivre that is out of this world.,salad with a delicious dressing,positive,79,110,,,,,,,salad with a delicious dressing,,,,salad with a delicious dressing 
2962,Three courses - choices include excellent musselscomma puff pastry goat cheese and salad with a delicious dressingcomma and a hanger steak au poivre that is out of this world.,hanger steak au poivre,positive,118,140,,,,,,,hanger steak au poivre,,,,hanger steak au poivre 
2962,Three courses - choices include excellent musselscomma puff pastry goat cheese and salad with a delicious dressingcomma and a hanger steak au poivre that is out of this world.,courses,neutral,6,13,,,,,,,courses,,,,courses 
2962,Three courses - choices include excellent musselscomma puff pastry goat cheese and salad with a delicious dressingcomma and a hanger steak au poivre that is out of this world.,,,,,food,positive,,,,,,food,,, food
3404,it's a perfect place to have a amanzing indian food.,indian food,positive,40,51,,,,,,,indian food,,,,indian food 
3404,it's a perfect place to have a amanzing indian food.,,,,,food,positive,,,,,,food,,, food
2599,The place is so cool and the service is prompt and curtious.,service,positive,29,36,,,,,,,service,,,,service 
2599,The place is so cool and the service is prompt and curtious.,place,positive,4,9,,,,,,,place,,,,place 
2599,The place is so cool and the service is prompt and curtious.,,,,,service,positive,,,,,,service,,, service
2599,The place is so cool and the service is prompt and curtious.,,,,,ambience,positive,,,,,,ambience,,, ambience
673,At the end you're left with a mild broth with noodles that you can slurp out of a cup.,broth with noodles,positive,35,53,,,,,,,broth with noodles,,,,broth with noodles 
673,At the end you're left with a mild broth with noodles that you can slurp out of a cup.,,,,,food,positive,,,,,,food,,, food
648,I just wonder how you can have such a delicious meal for such little money.,meal,positive,48,52,,,,,,,meal,,,,meal 
648,I just wonder how you can have such a delicious meal for such little money.,money,positive,69,74,,,,,,,money,,,,money 
648,I just wonder how you can have such a delicious meal for such little money.,,,,,price,positive,,,,,,price,,, price
648,I just wonder how you can have such a delicious meal for such little money.,,,,,food,positive,,,,,,food,,, food
863,The food was delicious but do not come here on a empty stomach.,food,conflict,4,8,,,,,,,food,,,,food 
863,The food was delicious but do not come here on a empty stomach.,,,,,food,conflict,,,,,,food,,, food
1623,The wine list is excellent.,wine list,positive,4,13,,,,,,,wine list,,,,wine list 
1623,The wine list is excellent.,,,,,food,positive,,,,,,food,,, food
2177,so garantuan that you can't fit them in a toaster.,,,,,food,positive,,,,,,food,,, food
430,Ive been to many Thai restaurants in Manhattan beforecomma and Toons is by far the best Thai food Ive had (except for my mom's of course).,Thai food,positive,84,93,,,,,,,Thai food,,,,Thai food 
430,Ive been to many Thai restaurants in Manhattan beforecomma and Toons is by far the best Thai food Ive had (except for my mom's of course).,,,,,food,positive,,,,,,food,,, food
1101,They wouldnt even let me finish my glass of wine before offering another.,glass of wine,neutral,35,48,,,,,,,glass of wine,,,,glass of wine 
1101,They wouldnt even let me finish my glass of wine before offering another.,,,,,service,positive,,,,,,service,,, service
1823,I highly recommend the Sophia pizza.,,,,,anecdotes/miscellaneous,positive,,,,,,anecdotes/miscellaneous,,, anecdotes/miscellaneous
324,Whem askedcomma we had to ask more detailed questions so that we knew what the specials were.,specials,neutral,75,83,,,,,,,specials,,,,specials 
324,Whem askedcomma we had to ask more detailed questions so that we knew what the specials were.,,,,,service,negative,,,,,,service,,, service
2783,This is a consistently great place to dine for lunch or dinner.,lunch,neutral,47,52,,,,,,,lunch,,,,lunch 
2783,This is a consistently great place to dine for lunch or dinner.,dinner,neutral,56,62,,,,,,,dinner,,,,dinner 
2783,This is a consistently great place to dine for lunch or dinner.,dine,positive,38,42,,,,,,,dine,,,,dine 
2783,This is a consistently great place to dine for lunch or dinner.,,,,,anecdotes/miscellaneous,positive,,,,,,anecdotes/miscellaneous,,, anecdotes/miscellaneous
2983,Nice atmospherecomma the service was very pleasant and the desert was good.,atmosphere,positive,5,15,,,,,,,atmosphere,,,,atmosphere 
2983,Nice atmospherecomma the service was very pleasant and the desert was good.,service,positive,21,28,,,,,,,service,,,,service 
2983,Nice atmospherecomma the service was very pleasant and the desert was good.,desert,positive,55,61,,,,,,,desert,,,,desert 
2983,Nice atmospherecomma the service was very pleasant and the desert was good.,,,,,food,positive,,,,,,food,,, food
2983,Nice atmospherecomma the service was very pleasant and the desert was good.,,,,,service,positive,,,,,,service,,, service
2983,Nice atmospherecomma the service was very pleasant and the desert was good.,,,,,ambience,positive,,,,,,ambience,,, ambience
66,All the people that I bring there go back on their own and bring THEIR friends!,,,,,anecdotes/miscellaneous,positive,,,,,,anecdotes/miscellaneous,,, anecdotes/miscellaneous
627,After really enjoying ourselves at the bar we sat down at a table and had dinner.,bar,positive,39,42,,,,,,,bar,,,,bar 
627,After really enjoying ourselves at the bar we sat down at a table and had dinner.,table,neutral,60,65,,,,,,,table,,,,table 
627,After really enjoying ourselves at the bar we sat down at a table and had dinner.,dinner,neutral,74,80,,,,,,,dinner,,,,dinner 
627,After really enjoying ourselves at the bar we sat down at a table and had dinner.,,,,,anecdotes/miscellaneous,positive,,,,,,anecdotes/miscellaneous,,, anecdotes/miscellaneous
3219,Fabulous servicecomma fantastic foodcomma and a chilled out atmosphere and environment.,service,positive,9,16,,,,,,,service,,,,service 
3219,Fabulous servicecomma fantastic foodcomma and a chilled out atmosphere and environment.,food,positive,28,32,,,,,,,food,,,,food 
3219,Fabulous servicecomma fantastic foodcomma and a chilled out atmosphere and environment.,atmosphere,positive,52,62,,,,,,,atmosphere,,,,atmosphere 
3219,Fabulous servicecomma fantastic foodcomma and a chilled out atmosphere and environment.,environment,positive,67,78,,,,,,,environment,,,,environment 
3219,Fabulous servicecomma fantastic foodcomma and a chilled out atmosphere and environment.,,,,,food,positive,,,,,,food,,, food
3219,Fabulous servicecomma fantastic foodcomma and a chilled out atmosphere and environment.,,,,,service,positive,,,,,,service,,, service
3219,Fabulous servicecomma fantastic foodcomma and a chilled out atmosphere and environment.,,,,,ambience,positive,,,,,,ambience,,, ambience
2934,Not what I wanted to hear.,,,,,anecdotes/miscellaneous,negative,,,,,,anecdotes/miscellaneous,,, anecdotes/miscellaneous
2787,Try the lasagnette appetizer.,lasagnette appetizer,positive,8,28,,,,,,,lasagnette appetizer,,,,lasagnette appetizer 
2787,Try the lasagnette appetizer.,,,,,food,positive,,,,,,food,,, food
825,Priceycomma but worth a trycomma at least once.,,,,,price,negative,,,,,,price,,, price
825,Priceycomma but worth a trycomma at least once.,,,,,anecdotes/miscellaneous,positive,,,,,,anecdotes/miscellaneous,,, anecdotes/miscellaneous
197,I've been there a few timescomma and I usually end up sitting next to some pretty odd people.,,,,,anecdotes/miscellaneous,negative,,,,,,anecdotes/miscellaneous,,, anecdotes/miscellaneous
604,I liked the beer selection!,beer selection,positive,12,26,,,,,,,beer selection,,,,beer selection 
604,I liked the beer selection!,,,,,food,positive,,,,,,food,,, food
2911,Great foodcomma good size menucomma great service and an unpretensious setting.,food,positive,6,10,,,,,,,food,,,,food 
2911,Great foodcomma good size menucomma great service and an unpretensious setting.,menu,positive,22,26,,,,,,,menu,,,,menu 
2911,Great foodcomma good size menucomma great service and an unpretensious setting.,service,positive,34,41,,,,,,,service,,,,service 
2911,Great foodcomma good size menucomma great service and an unpretensious setting.,setting,positive,63,70,,,,,,,setting,,,,setting 
2911,Great foodcomma good size menucomma great service and an unpretensious setting.,,,,,food,positive,,,,,,food,,, food
2911,Great foodcomma good size menucomma great service and an unpretensious setting.,,,,,service,positive,,,,,,service,,, service
2911,Great foodcomma good size menucomma great service and an unpretensious setting.,,,,,ambience,positive,,,,,,ambience,,, ambience
3074,Go here for a romantic dinner but not for an all out wow dining experience.,dinner,positive,23,29,,,,,,,dinner,,,,dinner 
3074,Go here for a romantic dinner but not for an all out wow dining experience.,dining,positive,57,63,,,,,,,dining,,,,dining 
3074,Go here for a romantic dinner but not for an all out wow dining experience.,,,,,anecdotes/miscellaneous,conflict,,,,,,anecdotes/miscellaneous,,, anecdotes/miscellaneous
1479,Can't wait to go back.,,,,,anecdotes/miscellaneous,positive,,,,,,anecdotes/miscellaneous,,, anecdotes/miscellaneous
1074,I grew up eating Dosa and have yet to find a place in NY to satisfy my taste buds.,Dosa,neutral,17,21,,,,,,,Dosa,,,,Dosa 
1074,I grew up eating Dosa and have yet to find a place in NY to satisfy my taste buds.,,,,,anecdotes/miscellaneous,neutral,,,,,,anecdotes/miscellaneous,,, anecdotes/miscellaneous
912,Wine list selection is good and wine-by-the-glass was generously filled to the top.,Wine list selection,positive,0,19,,,,,,,Wine list selection,,,,Wine list selection 
912,Wine list selection is good and wine-by-the-glass was generously filled to the top.,wine-by-the-glass,positive,32,49,,,,,,,wine-by-the-glass,,,,wine-by-the-glass 
912,Wine list selection is good and wine-by-the-glass was generously filled to the top.,,,,,food,positive,,,,,,food,,, food
728,With the great variety on the menu comma I eat here often and never get bored .,menu,positive,30,34,,,,,,,menu,,,,menu 
728,With the great variety on the menu comma I eat here often and never get bored .,,,,,food,positive,,,,,,food,,, food
2925,The menu is very limited - i think we counted 4 or 5 entrees.,menu,negative,4,8,,,,,,,menu,,,,menu 
2925,The menu is very limited - i think we counted 4 or 5 entrees.,entrees,negative,53,60,,,,,,,entrees,,,,entrees 
2925,The menu is very limited - i think we counted 4 or 5 entrees.,,,,,food,negative,,,,,,food,,, food
495,If you are a carnivorecomma come hungry and you will leave more satisfied than you have ever been.,,,,,anecdotes/miscellaneous,positive,,,,,,anecdotes/miscellaneous,,, anecdotes/miscellaneous
3436,The menu is limited but almost all of the dishes are excellent.,menu,negative,4,8,,,,,,,menu,,,,menu 
3436,The menu is limited but almost all of the dishes are excellent.,dishes,positive,42,48,,,,,,,dishes,,,,dishes 
3436,The menu is limited but almost all of the dishes are excellent.,,,,,food,conflict,,,,,,food,,, food
3273,Not too crazy about their sake martini.,sake martini,negative,26,38,,,,,,,sake martini,,,,sake martini 
3273,Not too crazy about their sake martini.,,,,,food,negative,,,,,,food,,, food
1215,Great bagelscomma spreads and a good place to hang out in.,bagels,positive,6,12,,,,,,,bagels,,,,bagels 
1215,Great bagelscomma spreads and a good place to hang out in.,spreads,positive,14,21,,,,,,,spreads,,,,spreads 
1215,Great bagelscomma spreads and a good place to hang out in.,,,,,food,positive,,,,,,food,,, food
1215,Great bagelscomma spreads and a good place to hang out in.,,,,,anecdotes/miscellaneous,positive,,,,,,anecdotes/miscellaneous,,, anecdotes/miscellaneous
183,The service varys from day to day- sometimes they're very nicecomma and sometimes not.,service,conflict,4,11,,,,,,,service,,,,service 
183,The service varys from day to day- sometimes they're very nicecomma and sometimes not.,,,,,service,conflict,,,,,,service,,, service
2511,whoever the jazz duo wascomma they were on POINT.,,,,,ambience,positive,,,,,,ambience,,, ambience
282,One thing I liked about this place is that I never felt rushed or pressured to give up my table ot incoming guests.,table,neutral,90,95,,,,,,,table,,,,table 
282,One thing I liked about this place is that I never felt rushed or pressured to give up my table ot incoming guests.,,,,,service,positive,,,,,,service,,, service
1562,This place is a great bargain.,,,,,price,positive,,,,,,price,,, price
1712,We happened upon this place purely by accident and were pleased with the results.,,,,,anecdotes/miscellaneous,positive,,,,,,anecdotes/miscellaneous,,, anecdotes/miscellaneous
3249,Unfortunatelycomma the food is outstandingcomma but everything else about this restaurant is the pits.,food,positive,19,23,,,,,,,food,,,,food 
3249,Unfortunatelycomma the food is outstandingcomma but everything else about this restaurant is the pits.,,,,,food,positive,,,,,,food,,, food
3249,Unfortunatelycomma the food is outstandingcomma but everything else about this restaurant is the pits.,,,,,anecdotes/miscellaneous,negative,,,,,,anecdotes/miscellaneous,,, anecdotes/miscellaneous
2052,Deff recimmend Bukhara they also have opened two new locations guess ill try them out.,,,,,anecdotes/miscellaneous,positive,,,,,,anecdotes/miscellaneous,,, anecdotes/miscellaneous
3207,We always have a delicious meal and always leave feeling satisfied.,meal,positive,27,31,,,,,,,meal,,,,meal 
